[2026-03-31 17:51:23.004] [ИНФО] Задание CONF выполнено. Успех: да, Код возврата: 0, Выходные файлы: 0
[2026-03-31 17:51:16.975] [web-agent] [info] WebAgent запускается...
[2026-03-31 17:51:16.975] [web-agent] [info] Конфигурация загружена: UID=00767, Сервер=https://xdev.arkcom.ru:9999/app/webagent1/api
[2026-03-31 17:51:16.975] [web-agent] [info] Журнал инициализирован, файл: ./agent.log
[2026-03-31 17:51:16.975] [web-agent] [info] WebAgent инициализирован с UID: 00767
[2026-03-31 17:51:16.975] [web-agent] [info] WebAgent запущен
[2026-03-31 17:51:16.975] [web-agent] [info] Используем существующий access_code
[2026-03-31 17:51:17.280] [web-agent] [info] Нет заданий, следующий опрос через 5 секунд
[2026-03-31 17:51:22.593] [web-agent] [info] Получена задача: CONF
[2026-03-31 17:51:22.593] [web-agent] [info] Получено задание: 
[2026-03-31 17:51:22.593] [web-agent] [info] Выполнение задания: code=, session=qNCGmqyf-y1rM-iYog-j5cs-LZH1sqeagxvi
[2026-03-31 17:51:22.593] [web-agent] [info] Изменение конфигурации: {"key":"max_retries","value":"5"}
[2026-03-31 17:51:22.593] [web-agent] [info] max_retries изменён на 5
[2026-03-31 17:51:23.004] [web-agent] [info] Результаты отправлены для задания CONF
[2026-03-31 17:51:23.004] [web-agent] [info] Задание  выполнено успешно
[2026-03-31 17:51:23.004] [web-agent] [info] Задание CONF выполнено. Успех: да, Код возврата: 0, Выходные файлы: 0
[2026-03-31 17:51:23.429] [web-agent] [info] Нет заданий, следующий опрос через 5 секунд
[2026-03-31 17:51:28.729] [web-agent] [info] Нет заданий, следующий опрос через 5 секунд
[2026-03-31 17:51:34.054] [web-agent] [info] Нет заданий, следующий опрос через 5 секунд
[2026-03-31 17:51:39.378] [web-agent] [info] Нет заданий, следующий опрос через 5 секунд
[2026-03-31 17:51:43.076] [web-agent] [info] Получен сигнал 2, остановка агента...
[2026-03-31 17:51:44.379] [web-agent] [info] WebAgent остановлен
[2026-03-31 17:51:44.379] [web-agent] [info] Агент остановлен
eb-agent] [debug] Нет заданий, ожидание 20 секунд
[2026-03-31 17:48:28.033] [web-agent] [debug] Нет заданий, ожидание 20 секунд
[2026-03-31 17:48:49.910] [web-agent] [debug] Нет заданий, ожидание 20 секунд
[2026-03-31 17:49:10.239] [web-agent] [debug] Нет заданий, ожидание 20 секунд
[2026-03-31 17:49:30.588] [web-agent] [debug] Нет заданий, ожидание 20 секунд
[2026-03-31 17:49:50.928] [web-agent] [debug] Нет заданий, ожидание 20 секунд
[2026-03-31 17:50:11.298] [web-agent] [debug] Нет заданий, ожидание 20 секунд
